n,Gauss,Jacobi,GaussSeidel,← czasy w miliseknudach,,,,
3,1.836924,2.1705576,4.5692309,,,,,
4,2.4187848,6.6280279,15.9996591,,,n,Mcarlo,← czasy w sekundach
5,3.0718067,6.9652046,8.8744327,,,3,2.0712076635,
6,5.4666761,17.7135399,15.2848449,,,4,5.3878948052,
7,12.102122,15.8820625,14.171057,,,5,13.3644287631,
8,14.4657766,41.8998694,24.5664686,,,6,24.3378113889,
9,17.745951,22.9068668,22.1672261,,,7,40.7419486452,
10,18.4822264,21.2489126,19.2878112,,,8,51.6518937426,
11,27.619562,32.3281524,29.1215312,,,9,101.213084723,
12,32.4181709,36.0127091,31.8012765,,,10,137.8220229073,
13,20.4912899,54.5702159,51.4560373,,,11,216.3795497085,
14,32.3814245,71.3024089,72.4519364,,,12,297.6363836324,
15,48.5150272,85.4382991,79.0254905,,,,,
16,53.5851358,123.9967705,107.6342409,,,,,
17,73.3857665,152.6751112,133.9998014,,,,,
18,96.6451783,182.8024996,160.4348069,,,,,
19,121.7388044,223.5783043,197.5607888,,,,,
20,182.6781199,291.0511589,281.8592262,,,,,
21,243.6194715,368.2674597,363.9439897,,,,,
22,361.949083,479.4839048,458.6662776,,,,,
23,367.1113405,499.7393623,482.1750612,,,,,
24,389.109197,492.3916163,471.114003,,,,,
25,654.5223362,794.7681986,727.2724747,,,,,
26,719.9068854,799.4314641,718.0104811,,,,,
27,824.6137746,864.5975071,796.8516725,,,,,
28,960.1551342,1000.5306482,961.7038091,,,,,
29,1219.325657,1128.840293,1081.3669676,,,,,
30,1562.5160205,1413.3232314,1309.367703,,,,,
